Judul,Merek,Model_Detail,Harga,Tahun,Kilometer,Lokasi,UsiaMobil,Inflasi,HargaSekarang_DeflasiKeThnBuat,EstimasiHargaAwal_PadaThnBuat,EstimasiHargaAwal_NilaiSaatIni,DepresiasiRiilAbsolut_PerThn_PadaThnBuat,DepresiasiRiilNormal_PersenPerThn,DepresiasiAbsolut_PerThn_NilaiSaatIni
2015 Mazda Biante 2.0 SKYACTIV-G MPV,Mazda,Biante SKYACTIV-G,175000000.0,2015,78000,Jawa Barat,10,0.0636312113115612,164530711.52754903,471869472.28616154,501895098.3886771,30733876.075861253,6.513215599,32689509.838867713
2010 KIA Picanto 1.1 OPT 2 Hatchback,KIA,Picanto OPT 2,79000000.0,2010,81000,Jawa Barat,15,0.0513420400767928,75142053.6690701,364960126.7650855,383697924.21988994,19321204.873067696,5.294059119369007,20313194.947992664
2023 Honda Brio 1.2 Satya E Hatchback,Honda,Brio Satya E,170000000.0,2023,17500,Jawa Barat,2,0.036701314237700705,163981657.65324906,202446490.9299371,209876543.20987654,19232416.63834402,9.499999999999996,19938271.60493827
2018 Toyota Calya 1.2 G MPV,Toyota,Calya G,125000000.0,2018,32000,Jawa Barat,7,0.031983464156241,121125971.82184611,253244317.12153286,261343947.66096115,18874049.32852668,7.452901428571428,19477706.808708735
2012 Toyota Yaris 1.5 S Hatchback,Toyota,Yaris S,123000000.0,2012,148000,Jawa Barat,13,0.0427949999641975,117952234.14402926,464038002.4368555,483896508.734527,26621982.17637125,5.737026285900769,27761269.902655922
2023 KIA Sonet 1.5 Premiere SUV,KIA,Sonet Premiere,260000000.0,2023,17500,Jawa Barat,2,0.036701314237700705,250795476.4108515,309624044.9516685,320987654.32098764,29414284.270408496,9.499999999999996,30493827.16049382
2011 Honda Freed 1.5 MPV,Honda,Freed,142500000.0,2011,110000,Jawa Barat,14,0.053560477898215,135255643.11626256,591235171.550159,622902009.8886187,32569966.31670689,5.508800538931356,34314429.27775848
2014 MINI Cooper 2.0 S 3 Door Hatchback,MINI,Cooper S 3 Door,415000000.0,2014,7500,DKI Jakarta,11,0.0639492540819922,390056197.1426679,1242966942.4890954,1322453751.3098476,77537340.48603886,6.238085490090907,82495795.57362251
2019 Honda HR-V 1.5 E Special Edition SUV,Honda,HR-V E Special Edition,232000000.0,2019,87500,Jawa Barat,6,0.030305866496948698,225175850.72945625,423708089.38237023,436548930.17286956,33088706.442152333,7.809316666666666,34091488.362144925
2023 Wuling Air EV Long Range Hatchback,Wuling,Air EV Long Range,143000000.0,2023,17500,DKI Jakarta,2,0.036701314237700705,137937512.0259683,170293224.72341767,176543209.8765432,16177856.348724678,9.5,16771604.938271597
2021 Toyota Fortuner 2.4 VRZ TRD 4X2 SUV,Toyota,Fortuner VRZ TRD 4X2,450000000.0,2021,50705,DKI Jakarta,4,0.015601299052567299,443087263.1019627,675334953.6685911,685871056.2414266,58061922.641657114,8.597499999999998,58967764.06035665
2013 BMW 520i 2.0 Luxury Sedan,BMW,520i Luxury,235000000.0,2013,47500,DKI Jakarta,12,0.06412513301564181,220838689.65112177,781924909.1391624,832065947.9459548,46757184.957336724,5.979753862658333,49755495.6621629
2018 Toyota Vios 1.5 G Sedan,Toyota,Vios G,175000000.0,2018,43000,DKI Jakarta,7,0.031983464156241,169576360.55058455,354542043.970146,365881526.7253456,26423669.05993735,7.452901428571428,27268789.53219223
2015 Honda HR-V 1.8 Prestige SUV,Honda,HR-V Prestige,209000000.0,2015,52500,DKI Jakarta,10,0.0636312113115612,196496678.3386157,563546969.7589015,599406146.07562,36705029.142028585,6.513215599,39040614.607562006
2024 Hyundai Creta 1.5 Alpha SUV,Hyundai,Creta Alpha,300000000.0,2024,7500,DKI Jakarta,1,0.0226,293369841.58028555,325966490.64476174,333333333.3333333,32596649.064476192,10.000000000000005,33333333.333333313
2023 Toyota Kijang Innova Zenix 2.0 Q HV TSS ( Premium Color) MPV,Toyota,Kijang Innova Zenix Q HV TSS ( Premium Color),510000000.0,2023,12500,DKI Jakarta,2,0.036701314237700705,491944972.9597472,607339472.7898113,629629629.6296295,57697249.91503203,9.499999999999993,59814814.81481475
2019 Toyota Kijang Innova 2.0 G MPV,Toyota,Kijang Innova G,243000000.0,2019,72500,DKI Jakarta,6,0.030305866496948698,235852291.92783564,443797697.06860334,457247370.8276177,34657567.52346128,7.809316666666666,35707895.13793629
2009 Nissan Grand Livina 1.5 Ultimate MPV,Nissan,Grand Livina Ultimate,76500000.0,2009,202500,DKI Jakarta,16,0.0438641555014731,73285397.91008471,395491632.260593,412839538.7176031,20137889.646906767,5.091862381967599,21021221.169850193
2015 Toyota Avanza 1.3 E MPV,Toyota,Avanza E,110000000.0,2015,92500,DKI Jakarta,10,0.0636312113115612,103419304.3887451,296603668.29415864,315476918.98716843,19318436.390541352,6.513215598999998,20547691.898716845
2021 Toyota Avanza 1.3 G MPV,Toyota,Avanza G,167000000.0,2021,62500,Jawa Barat,4,0.015601299052567299,164434606.5289506,250624305.02812162,254534369.7607072,21547424.624792755,8.5975,21883592.4401768
2012 Toyota Vios 1.5 G Sedan,Toyota,Vios G,95000000.0,2012,142500,DKI Jakarta,13,0.0427949999641975,91101319.05433154,358403335.2154575,373741205.9331713,20561693.55085584,5.737026285900768,21441631.22562856
2018 Daihatsu Gran Max 1.3 Blind Van AC Van,Daihatsu,Gran Max Blind Van AC,82000000.0,2018,82500,Jawa Barat,7,0.031983464156241,79458637.51513106,166128272.0317256,171441629.66559055,12381376.359513504,7.452901428571428,12777375.666512936
2022 Hyundai Creta 1.5 Prime SUV,Hyundai,Creta Prime,270000000.0,2022,52500,DKI Jakarta,3,0.042094638340216504,259093550.68752602,355409534.55079013,370370370.3703703,32105327.95442137,9.033333333333331,33456790.123456776
2012 Nissan Evalia 1.5 XV MPV,Nissan,Evalia XV,83000000.0,2012,107500,Banten,13,0.0427949999641975,79593784.01588966,313131334.9777155,326531790.44687593,17964426.997063525,5.737026285900768,18733214.649759687
2017 Daihatsu Gran Max 1.3 Mini Bus D Van,Daihatsu,Gran Max Mini Bus D,96000000.0,2017,82500,DKI Jakarta,8,0.0380879806953157,92477710.73863971,214831022.17852944,223013502.00402018,15294163.929986216,7.1191598749999985,15876687.750502523
2018 Datsun GO 1.2 T Hatchback,Datsun,GO T,83000000.0,2018,87500,DKI Jakarta,7,0.031983464156241,80427645.28970583,168154226.56869784,173532381.24687824,12532368.754141716,7.452901428571428,12933197.320982605
2010 Honda City 1.5 E Sedan,Honda,City E,107000000.0,2010,97500,DKI Jakarta,15,0.0513420400767928,101774680.2859557,494313083.086888,519692125.209218,26169226.853395484,5.294059119369005,27512808.347281203
2014 Honda Mobilio 1.5 E Prestige MPV,Honda,Mobilio E Prestige,115000000.0,2014,102500,Jawa Barat,11,0.0639492540819922,108087861.85881159,344436622.6174602,366463087.7123674,21486250.978058964,6.238085490090908,22860280.70112431
2023 Honda BR-V 1.5 Prestige Honda Sensing SUV,Honda,BR-V Prestige Honda Sensing,251000000.0,2023,22500,DKI Jakarta,2,0.036701314237700705,242114094.53509125,298906289.54949534,309876543.2098765,28396097.507202044,9.499999999999996,29438271.60493824
2021 Toyota Calya 1.2 G MPV,Toyota,Calya G,125000000.0,2021,72500,Jawa Barat,4,0.015601299052567299,123079795.30610074,187593042.68571976,190519737.8448407,16128311.844904754,8.5975,16379934.461210176
2021 Toyota Avanza 1.3 G MPV,Toyota,Avanza G,167000000.0,2021,52500,DKI Jakarta,4,0.015601299052567299,164434606.5289506,250624305.02812162,254534369.7607072,21547424.624792755,8.5975,21883592.4401768
2015 KIA Rio 1.4 Hatchback,KIA,Rio,120000000.0,2015,122500,DKI Jakarta,10,0.0636312113115612,112821059.33317648,323567638.1390822,344156638.8950929,21074657.88059057,6.513215598999998,22415663.88950929
